@relation testAllData

@attribute Uacc 	numeric
@attribute class 	{0, 1, h, 2}

@data	
0.421988917,1
0.811137014,1
0.678529913,1
0.529533874,1
0.394013235,1
0.311986814,1
0.974016057,1
0.896842805,1
0.893644383,1
0.425677928,1
0.423915654,1
0.394264646,1
0.409257422,1
0.431125115,1
0.426380596,1
0.477331972,1
0.870935578,1
0.451885256,1
0.365145666,1
0.526274916,1
1.131741178,1
0.631994844,1
0.423186719,1
0.363433998,1
0.382276646,1
0.366074652,1
0.366411298,1
0.403151455,1
0.398446616,1
0.40029699,1
0.39799885,1
0.393135533,1
0.391988159,1
0.40898141,1
0.407104973,1
0.520888318,1
0.614295912,1
0.425454701,1
0.625699082,1
1.044907265,1
0.407467099,1
0.403167185,1
0.395461993,1
0.360282256,1
0.401997441,1
0.376868649,1
0.385681611,1
0.39548393,1
0.379368918,1
0.398246869,1
0.379741889,1
0.379210116,1
0.366967287,1
0.375836709,1
0.369700962,1
0.363812128,1
0.405814613,1
0.390454519,1
0.39951221,1
0.408651701,1
0.386003461,1
0.391855758,1
0.940358067,1
0.539372555,1
0.358903665,1
0.992408446,1
0.996950871,1
0.453514697,1
0.35940022,1
0.390139919,1
0.373784402,1
0.36774035,1
0.371568406,1
0.40848902,1
0.410236032,1
0.500085991,1
0.880820034,1
0.403781063,1
0.555407079,1
1.125209709,1
0.406274744,1
0.343792988,1
0.34836848,1
0.349031996,1
0.342697798,1
0.335268834,1
0.33401961,1
0.325469613,1
0.344365398,1
0.371894048,1
0.331748635,1
0.339966009,1
0.326998619,1
0.335462428,1
0.328022463,1
0.335319963,1
0.909272781,1
0.487202735,1
0.320554244,1
1.1513136,1
0.94092227,1
0.348785713,1
0.327630881,1
0.333011791,1
0.307341981,1
0.336019413,1
0.309137519,1
0.316275034,1
0.326640955,1
0.322640051,1
0.317042038,1
0.319190013,1
0.317061518,1
0.343802309,1
0.370083683,1
0.33602776,1
0.369552217,1
0.338037161,1
0.407918769,1
0.340371663,1
0.645827133,1
0.761948076,1
0.474008715,1
0.368843108,1
1.354347217,1
0.487678788,1
0.343437253,1
0.327898319,1
0.342573482,1
0.392540348,1
0.296238683,1
0.308891702,1
0.311416916,1
0.315161699,1
0.303859293,1
0.296031705,1
0.279362505,1
0.30285344,1
0.282105815,1
0.994409535,1
0.389406257,1
0.303477597,1
1.532410629,1
0.471593724,1
0.331456738,1
0.330188032,1
0.289175245,1
0.326192916,1
0.342648405,1
0.302056924,1
0.325716019,1
0.327672323,1
0.31114236,1
0.313577351,1
0.327520663,1
0.307365452,1
0.331076529,1
0.307215266,1
0.302717872,1
0.315922358,1
0.747141035,1
0.395540471,1
0.354678183,1
1.502231012,1
0.547571578,1
0.365910754,1
0.347172929,1
0.39082352,1
0.353965177,1
0.332620608,1
0.337763504,1
0.344093972,1
0.318770788,1
0.32767266,1
0.815849699,1
0.342311269,1
0.312136664,1
0.905982419,1
1.168235251,1
0.669291135,1
0.62393223,1
0.373235079,1
0.365465631,1
0.353681324,1
0.358430657,1
0.37392067,1
0.44206858,1
1.123547913,1
0.453442612,1
0.863786373,0
